CMS Certification Number,Facility Name,City,State,System Affiliation,Type of Facility,Key
010001,Southeast Health Medical Center,Dothan,AL,"Not In Any System - ,",Short Term Acute Care,010001_Southeast Health Medical Center
010005,Marshall Medical Center South,Boaz,AL,"Marshall Health System - Boaz, AL",Short Term Acute Care,010005_Marshall Medical Center South
010006,North Alabama Medical Center,Florence,AL,"LifePoint Health - Brentwood, TN",Short Term Acute Care,010006_North Alabama Medical Center
010007,Mizell Memorial Hospital,Opp,AL,"Not In Any System - ,",Short Term Acute Care,010007_Mizell Memorial Hospital
010008,Crenshaw Community Hospital,Luverne,AL,"Not In Any System - ,",Short Term Acute Care,010008_Crenshaw Community Hospital
010010,Marshall Medical Center North,Guntersville,AL,"Marshall Health System - Boaz, AL",Short Term Acute Care,010010_Marshall Medical Center North
010011,Saint Vincent's East,Birmingham,AL,"Ascension Health - Saint Louis, MO",Short Term Acute Care,010011_Saint Vincent's East
010012,DeKalb Regional Medical Center,Fort Payne,AL,"Quorum Health - Brentwood, TN",Short Term Acute Care,010012_DeKalb Regional Medical Center
010016,Shelby Baptist Medical Center,Alabaster,AL,"Brookwood Baptist Health - Birmingham, AL",Short Term Acute Care,010016_Shelby Baptist Medical Center
010018,UAB Callahan Eye Hospital,Birmingham,AL,"UAB Medicine - Birmingham, AL",Short Term Acute Care,010018_UAB Callahan Eye Hospital
010019,Helen Keller Hospital,Sheffield,AL,"Northwest Alabama Healthcare Authority - Montgomery, AL",Short Term Acute Care,010019_Helen Keller Hospital
010021,Dale Medical Center,Ozark,AL,"Not In Any System - ,",Short Term Acute Care,010021_Dale Medical Center
010022,Cherokee Medical Center,Centre,AL,"Atrium Health - Charlotte, NC",Short Term Acute Care,010022_Cherokee Medical Center
010023,Baptist Medical Center South,Montgomery,AL,"Baptist Health - Montgomery, AL",Short Term Acute Care,010023_Baptist Medical Center South
010024,Jackson Hospital,Montgomery,AL,"Not In Any System - ,",Short Term Acute Care,010024_Jackson Hospital
010029,East Alabama Medical Center,Opelika,AL,"Not In Any System - ,",Short Term Acute Care,010029_East Alabama Medical Center
010033,UAB Hospital,Birmingham,AL,"UAB Medicine - Birmingham, AL",Short Term Acute Care,010033_UAB Hospital
