CMS Certification Number,Facility Name,System Affiliation,State,ZIP,Latitude,Longitude,Type of Control,FFY2020 IPPS Discharges to Home,Total Discharges,Total Acute Beds,Total Fixed Assets,HIT Designated Assets,Compliant,IT Prop Assets,Agg Control,Num Hospitals in SA,Num Compliant in SA,coor,Num Hospitals within 5 Miles,Num Compliant Hospitals within 5 Miles,Pct Compliant within Radius,Daily Penalty,Annual Penalty
10001,Southeast Health Medical Center,Not in a System,AL,36301,31.2145,-85.361504,"Governmental, County",2282,19235,332,184506091,0,,0,Governmental,0,1,"(31.2145, -85.361504)",3,0,0,3320,1211800
10005,Marshall Medical Center South,"Marshall Health System - Boaz, AL",AL,35957,34.221699,-86.1595,"Governmental, County",998,7149,195,88733621,0,,0,Governmental,2,0,"(34.221699, -86.1595)",0,0,,1950,711750
10006,North Alabama Medical Center,"LifePoint Health - Brentwood, TN",AL,35630,34.803799,-87.650002,"Proprietary, Corporation",1745,11756,223,283374283,0,,0,Proprietary,53,1,"(34.803799, -87.650002)",2,0,0,2230,813950
10007,Mizell Memorial Hospital,Not in a System,AL,36467,31.2918,-86.255402,"Governmental, County",250,1142,45,6530525,0,,0,Governmental,0,1,"(31.2918, -86.255402)",0,0,,450,164250
10008,Crenshaw Community Hospital,Not in a System,AL,36049,31.6933,-86.266197,"Proprietary, Corporation",80,309,29,0,0,,,Proprietary,0,1,"(31.6933, -86.266197)",1,0,0,300,109500
10010,Marshall Medical Center North,"Marshall Health System - Boaz, AL",AL,35976,34.363701,-86.419998,"Governmental, County",0,4712,90,28034292,147790,,0.5,Governmental,2,0,"(34.363701, -86.419998)",0,0,,900,328500
10011,Saint Vincent's East,"Ascension Health - Saint Louis, MO",AL,35235,33.595299,-86.665199,"Voluntary Nonprofit, Church",1499,14222,309,72773303,0,,0,Nonprofit,92,0,"(33.595299, -86.665199)",1,0,0,3090,1127850
10012,DeKalb Regional Medical Center,"Quorum Health - Brentwood, TN",AL,35968,34.4398,-85.755898,"Proprietary, Corporation",319,2761,97,15962535,0,,0,Proprietary,21,0,"(34.4398, -85.755898)",0,0,,970,354050
10016,Shelby Baptist Medical Center,"Brookwood Baptist Health - Birmingham, AL",AL,35007,33.252998,-86.8144,"Voluntary Nonprofit, Church",1120,9242,212,89565163,0,,0,Nonprofit,5,0,"(33.252998, -86.8144)",1,0,0,2120,773800
10018,UAB Callahan Eye Hospital,"UAB Medicine - Birmingham, AL",AL,35233,33.503201,-86.802299,"Voluntary Nonprofit, Other",42,150,6,39312701,0,,0,Nonprofit,3,0,"(33.503201, -86.802299)",9,0,0,300,109500
10019,Helen Keller Hospital,"Northwest Alabama Healthcare Authority - Montgomery, AL",AL,35660,34.745899,-87.698898,"Governmental, County",913,6294,172,43434386,0,,0,Governmental,2,0,"(34.745899, -87.698898)",2,0,0,1720,627800
10021,Dale Medical Center,Not in a System,AL,36360,31.451799,-85.630898,"Governmental, County",178,1221,77,10809886,0,,0,Governmental,0,1,"(31.451799, -85.630898)",0,0,,770,281050
10022,Cherokee Medical Center,"Atrium Health - Charlotte, NC",AL,35960,34.162701,-85.651398,"Proprietary, Corporation",103,723,45,1269338,0,,0,Proprietary,19,0,"(34.162701, -85.651398)",0,0,,450,164250
10023,Baptist Medical Center South,"Baptist Health - Montgomery, AL",AL,36116,32.327099,-86.277802,Governmental Hospital District,2073,14979,326,108792676,0,,0,Governmental,3,0,"(32.327099, -86.277802)",4,0,0,3260,1189900
10024,Jackson Hospital,Not in a System,AL,36106,32.3666,-86.285202,"Voluntary Nonprofit, Other",1431,12023,274,72645042,0,,0,Nonprofit,0,1,"(32.3666, -86.285202)",4,0,0,2740,1000100
10029,East Alabama Medical Center,Not in a System,AL,36801,32.638,-85.404602,"Voluntary Nonprofit, Other",1825,16215,311,168387771,0,,0,Nonprofit,0,1,"(32.638, -85.404602)",0,0,,3110,1135150
10033,UAB Hospital,"UAB Medicine - Birmingham, AL",AL,35233,33.506001,-86.802803,"Governmental, State",5527,44963,1076,611158000,0,,0,Governmental,3,0,"(33.506001, -86.802803)",9,0,0,5500,2007500
10034,Community Hospital,Not in a System,AL,36078,32.535301,-85.912498,"Voluntary Nonprofit, Other",89,525,37,2891101,0,,0,Nonprofit,0,1,"(32.535301, -85.912498)",0,0,,370,135050
10035,Cullman Regional Medical Center,Not in a System,AL,35058,34.198502,-86.804802,"Governmental, County",1059,7810,133,68602769,0,,0,Governmental,0,1,"(34.198502, -86.804802)",1,0,0,1330,485450
10036,Andalusia Health,"LifePoint Health - Brentwood, TN",AL,36420,31.297199,-86.496002,"Proprietary, Corporation",393,2289,83,9141242,0,,0,Proprietary,53,1,"(31.297199, -86.496002)",0,0,,830,302950
10038,RMC Stringfellow Memorial Hospital,"Regional Medical Center Health System - Anniston, AL",AL,36207,33.667301,-85.824203,"Proprietary, Corporation",369,2345,125,18063094,0,,0,Proprietary,2,0,"(33.667301, -85.824203)",2,0,0,1250,456250
10039,Huntsville Hospital,"Huntsville Hospital Health System - Huntsville, AL",AL,35801,34.7211,-86.581802,"Governmental, Other",5922,48584,887,470770390,0,,0,Governmental,4,0,"(34.7211, -86.581802)",2,0,0,5500,2007500
10040,Gadsden Regional Medical Center,"Community Health Systems, Inc. (CHS) - Franklin, TN",AL,35903,34.009102,-85.966103,"Proprietary, Corporation",1357,10903,222,90199008,0,,0,Proprietary,78,0,"(34.009102, -85.966103)",2,0,0,2220,810300
